What is <code>=</code> operator called in Elixir?	"It's <em>match</em> operator, it's used in pattern matching."	
Although GenServer and Agent seem to be doing the same thing which is managing state in a long running process, what is one shortcoming with Agent and how do you tackle that?	" <div> <div> <div> <div>One problem with agents is that they completely open the process’s state. Recall that with GenServer, the <b>state is private to the server</b> and can only be manipulated via well-defined messages. For example,</div><div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span style=""color: #0000FF; font-weight: bold"">GenServer</span><span style=""color: #666666"">.</span>cast(counter_server_pid, :increment) </pre></div> </td></tr></tbody></table></center>the actualy increment logic is hidden from the client. With an Agent, though, the state can be manipulated in an arbitrary way through lambdas passed to Agent functions, which means the state is prone to accidental corruption&nbsp;</div><div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span style=""color: #0000FF; font-weight: bold"">Agent</span><span style=""color: #666666"">.</span>update(counter_server_pid, <span style=""color: #008000; font-weight: bold"">fn</span> x<span style=""color: #666666"">-&gt;</span>x<span style=""color: #666666"">+5</span> <span style=""color: #008000; font-weight: bold"">end</span>) </pre></div> </td></tr></tbody></table></center><div> <div> <div> <div> <div>To guard against this problem, you’re advised to always wrap an agent in a dedicated module, and to only manipulate the agent process through functions of that module. For example,</div><div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span style=""color: #008000; font-weight: bold"">def</span> increment(pid) <span style=""color: #008000; font-weight: bold"">do</span>   <span style=""color: #0000FF; font-weight: bold"">Agent</span><span style=""color: #666666"">.</span>update(counter_server_pid, <span style=""color: #008000; font-weight: bold"">fn</span> x<span style=""color: #666666"">-&gt;</span>x<span style=""color: #666666"">+5</span> <span style=""color: #008000; font-weight: bold"">end</span>) <span style=""color: #008000; font-weight: bold"">end</span> </pre></div> </td></tr></tbody></table></center><br></div> </div> </div> </div></div></div> </div> </div> </div>"	
How do you detect idle periods and automatically shutdown GenServers?	" <div> <div> <div>In values returned from GenServer callbacks, you can include <b>one extra element at the end of the return tuple</b>. This element, if it’s an integer, represents an idle time after which the timeout message is sent to the GenServer process.&nbsp;</div><div><br></div><div> <div> <div> <div>For example, in init/1, instead of returning {:ok, initial_state}, you can return {:ok, initial_state, 1000}. The value of 1000 states that if no call, cast, or plain message arrives to the server process in 1,000 milliseconds, the <b>handle_info/2</b> callback will be invoked, and the first argument will have the value of :timeout. </div> <div>The same thing holds true for other callbacks, such as handle_cast/2 and handle_ call/3, where you can return {:noreply, new_state, timeout} and {:reply, response, new_state, timeout} respectively.&nbsp;</div><div><br></div><div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span style=""color: #008000; font-weight: bold"">def</span> handle_info(<span style=""color: #19177C"">:timeout</span>, {name, todo_list}) <span style=""color: #008000; font-weight: bold"">do</span>  <span style=""color: #0000FF; font-weight: bold"">IO</span><span style=""color: #666666"">.</span>puts(<span style=""color: #BA2121"">""Stopping to-do server for </span><span style=""color: #BB6688; font-weight: bold"">#{</span>name<span style=""color: #BB6688; font-weight: bold"">}</span><span style=""color: #BA2121"">""</span>)  {<span style=""color: #19177C"">:stop</span>, <span style=""color: #19177C"">:normal</span>, {name, todo_list}<!---->} <span style=""color: #008000; font-weight: bold"">end</span> </pre></div> </td></tr></tbody></table></center><br></div> </div> </div></div> </div> </div>"	
"<div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">iex(<span style=""color: #666666"">2</span>)<span style=""color: #666666"">&gt;</span> table<span style=""color: #666666"">=</span><span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>new(<span style=""color: #19177C"">:my_table</span>, []) <span style=""color: #408080; font-style: italic"">#Reference&lt;0.4030288514.1534984196.194401&gt;</span> iex(<span style=""color: #666666"">3</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>insert(table, {<span style=""color: #19177C"">:key_1</span>,<span style=""color: #666666"">1</span>}) <span style=""color: #880000"">true</span> iex(<span style=""color: #666666"">4</span>)<span style=""color: #666666"">&gt;</span> spawn(<span style=""color: #008000; font-weight: bold"">fn</span> <span style=""color: #666666"">-&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>insert(table, {<span style=""color: #19177C"">:key_3</span>, <span style=""color: #666666"">3</span>}) <span style=""color: #008000; font-weight: bold"">end</span>) <span style=""color: #408080; font-style: italic"">#PID&lt;0.113.0&gt;</span> iex(<span style=""color: #666666"">7</span>)<span style=""color: #666666"">&gt;</span>  <span style=""color: #666666"">21</span>:<span style=""color: #666666"">59</span>:<span style=""color: #666666"">02.214</span> [error] <span style=""color: #0000FF; font-weight: bold"">Process</span> <span style=""color: #408080; font-style: italic"">#PID&lt;0.113.0&gt; raised an exception</span> <span style=""color: #666666"">**</span> (<span style=""color: #0000FF; font-weight: bold"">ArgumentError</span>) argument error     (stdlib) <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>insert(<span style=""color: #408080; font-style: italic"">#Reference&lt;0.4030288514.1534984196.194401&gt;, {:key_3, 3})</span>  <span style=""color: #880000"">nil</span> </pre></div> </td></tr></tbody></table></center>Why is the following error thrown?&nbsp;</div>"	"ETS table's have by default <b>protected</b> access permissions and only the owner process can read from and write to the table. All other processes can only read from the table. You can fix it by making the table access to public.<div><br></div><div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">iex(<span style=""color: #666666"">12</span>)<span style=""color: #666666"">&gt;</span> table<span style=""color: #666666"">=</span><span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>new(<span style=""color: #19177C"">:table</span>, [<span style=""color: #19177C"">:public</span>])                             <span style=""color: #408080; font-style: italic"">#Reference&lt;0.4030288514.1534984196.194527&gt;</span> iex(<span style=""color: #666666"">13</span>)<span style=""color: #666666"">&gt;</span> spawn(<span style=""color: #008000; font-weight: bold"">fn</span> <span style=""color: #666666"">-&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>insert(table, {<span style=""color: #19177C"">:key_3</span>, <span style=""color: #666666"">5</span>}) <span style=""color: #008000; font-weight: bold"">end</span>) <span style=""color: #408080; font-style: italic"">#PID&lt;0.123.0&gt;</span> iex(<span style=""color: #666666"">14</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>lookup(table, <span style=""color: #19177C"">:key_3</span>)                              [<span style=""color: #19177C"">key_3</span>: <span style=""color: #666666"">5</span>] </pre></div> </td></tr></tbody></table></center>Here are the table access permissions:</div><div><div> <div> <div> <div>*&nbsp; :<b>protected</b> — The default. The owner process can read from and write to the table. All other processes can read from the table. </div> <div>*&nbsp; :<b>public</b> — All processes can read from and write to the table. </div> <div>*&nbsp; :<b>private</b> — Only the owner process can access the table.&nbsp;</div> </div> </div></div></div>"	
"When creating an ETS table you provide a table name as atom eventhough you still need to use the reference for table access like below:<div><br></div><div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">iex(<span style=""color: #666666"">2</span>)<span style=""color: #666666"">&gt;</span> table<span style=""color: #666666"">=</span><span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>new(<span style=""color: #19177C"">:my_table</span>, []) <span style=""color: #408080; font-style: italic"">#Reference&lt;0.4030288514.1534984196.194401&gt;</span> iex(<span style=""color: #666666"">3</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>insert(table, {<span style=""color: #19177C"">:key_1</span>,<span style=""color: #666666"">1</span>}) <span style=""color: #880000"">true</span> iex(<span style=""color: #666666"">4</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>insert(table, {<span style=""color: #19177C"">:key_2</span>,%{<span style=""color: #19177C"">name</span>: <span style=""color: #BA2121"">""mike""</span>, <span style=""color: #19177C"">city</span>: <span style=""color: #BA2121"">""boston""</span> }<!---->}) <span style=""color: #880000"">true</span> iex(<span style=""color: #666666"">5</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>lookup(table, <span style=""color: #19177C"">:key_2</span>)                                    [<span style=""color: #19177C"">key_2</span>: %{<span style=""color: #19177C"">city</span>: <span style=""color: #BA2121"">""boston""</span>, <span style=""color: #19177C"">name</span>: <span style=""color: #BA2121"">""mike""</span>}] </pre></div> </td></tr></tbody></table></center>What's the purpose of :my_table?</div>"	"<div> <div> <div> <div>This argument must be an atom, and by default it serves no purpose but it's still required. You can create multiple tables with the same name, and they’re still different tables. </div> <div>But if you provide a <b>:named_table</b> option, the table becomes accessible via its name and trying to create a duplicate named table will result in an error:</div> </div></div></div> <div> <div> <div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><center><table><tbody><tr><td><div class=""highlight"" style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><pre style=""line-height: 125%"">iex(<span style=""color: #666666"">1</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>new(<span style=""color: #19177C"">:my_table</span>, [<span style=""color: #19177C"">:named_table</span>])  <span style=""color: #19177C"">:my_table</span> iex(<span style=""color: #666666"">2</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>insert(<span style=""color: #19177C"">:my_table</span>, {<span style=""color: #19177C"">:key_1</span>, <span style=""color: #666666"">3</span>}) <span style=""color: #880000"">true</span> iex(<span style=""color: #666666"">3</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>lookup(<span style=""color: #19177C"">:my_table</span>, <span style=""color: #19177C"">:key_1</span>)  [<span style=""color: #19177C"">key_1</span>: <span style=""color: #666666"">3</span>] iex(<span style=""color: #666666"">4</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>new(<span style=""color: #19177C"">:my_table</span>, [<span style=""color: #19177C"">:named_table</span>])  <span style=""color: #666666"">**</span> (<span style=""color: #0000FF; font-weight: bold"">ArgumentError</span>) argument error</pre></div></td></tr></tbody></table></center><br></pre></div> </td></tr></tbody></table></center></div></div><div><div><br></div> </div> </div> <div> <div> <div>In this sense, a table name resembles a locally registered process name. It’s a symbolic name of a table, and it relieves you of having to pass around the ETS reference&nbsp;</div> </div></div>"	
True or False: ETS is not an OTP process like GenServer	true. ETS table is a separate memory-data structure where you can store Erlang terms. An ETS table is deeply connected to its owner process (by default, the process that created the table). <b>If the owner process terminates, the ETS table is reclaimed</b>.&nbsp;&nbsp;<br>	
"<div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span style=""color: #0000FF; font-weight: bold"">In</span> the following code, why is the ets table wrapped <span style=""color: #AA22FF; font-weight: bold"">in</span> <span style=""color: #0000FF; font-weight: bold"">GenServer</span><span style=""color: #BA2121"">? </span><span style=""color: #AA22FF; font-weight: bold"">and</span> why there<span style=""color: #BA2121"">'s no callback code for get and put?</span><center><table><tbody><tr><td><div class=""highlight"" style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><pre style=""line-height: 125%""><span style=""color: #008000; font-weight: bold"">defmodule</span> <span style=""color: #0000FF; font-weight: bold"">ETSKeyValue</span> <span style=""color: #008000; font-weight: bold"">do</span>  <span style=""color: #008000; font-weight: bold"">use</span> <span style=""color: #0000FF; font-weight: bold"">GenServer</span>   <span style=""color: #008000; font-weight: bold"">def</span> start_link() <span style=""color: #008000; font-weight: bold"">do</span>   <span style=""color: #0000FF; font-weight: bold"">GenServer</span><span style=""color: #666666"">.</span>start_link(<span style=""color: #008000"">__MODULE__</span>, <span style=""color: #880000"">nil</span>, <span style=""color: #19177C"">name</span>: <span style=""color: #008000"">__MODULE__</span>)  <span style=""color: #008000; font-weight: bold"">end</span>   <span style=""color: #008000; font-weight: bold"">def</span> init(<span style=""color: #008000"">_</span>) <span style=""color: #008000; font-weight: bold"">do</span>   <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>new(<span style=""color: #008000"">__MODULE__</span>, [<span style=""color: #19177C"">:named_table</span>, <span style=""color: #19177C"">:public</span>, <span style=""color: #19177C"">write_concurrency</span>: <span style=""color: #880000"">true</span>])   {<span style=""color: #19177C"">:ok</span>, <span style=""color: #880000"">nil</span>}  <span style=""color: #008000; font-weight: bold"">end</span>   <span style=""color: #008000; font-weight: bold"">def</span> put(key, value) <span style=""color: #008000; font-weight: bold"">do</span>   <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>insert(<span style=""color: #008000"">__MODULE__</span>, {key, value})  <span style=""color: #008000; font-weight: bold"">end</span>   <span style=""color: #008000; font-weight: bold"">def</span> get(key) <span style=""color: #008000; font-weight: bold"">do</span>   <span style=""color: #008000; font-weight: bold"">case</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>lookup(<span style=""color: #008000"">__MODULE__</span>, key) <span style=""color: #008000; font-weight: bold"">do</span>    [{<span style=""color: #666666"">^</span>key,value}] <span style=""color: #666666"">-&gt;</span> value    [] <span style=""color: #666666"">-&gt;</span> <span style=""color: #880000"">nil</span>   <span style=""color: #008000; font-weight: bold"">end</span>  <span style=""color: #008000; font-weight: bold"">end</span> <span style=""color: #008000; font-weight: bold"">end</span> </pre></div> </td></tr></tbody></table></center><br> </pre></div></td></tr></tbody></table></center><br></div>"	1. An ETS table is deeply connected to its owner process (by default, the process that created the table). If the owner process terminates, the ETS table is reclaimed. So the sole purpose of this GenServer process is to keep the table alive.&nbsp;<div>2. get and put operations now don’t go through the server process. This means that multiple clients can work with the key/value store simultaneously, without blocking each other&nbsp;</div>	
"<center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">iex(<span style=""color: #666666"">1</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>new(<span style=""color: #19177C"">:todo_list</span>, [<span style=""color: #19177C"">:bag</span>, <span style=""color: #19177C"">:named_table</span>]) <span style=""color: #19177C"">:todo_list</span> iex(<span style=""color: #666666"">2</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>insert(<span style=""color: #19177C"">:todo_list</span>, {<span style=""color: #008000"">~D[2018-05-24]</span>, <span style=""color: #BA2121"">""Dentist""</span>}) <span style=""color: #880000"">true</span> iex(<span style=""color: #666666"">3</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>insert(<span style=""color: #19177C"">:todo_list</span>, {<span style=""color: #008000"">~D[2018-05-24]</span>, <span style=""color: #BA2121"">""Shopping""</span>}) <span style=""color: #880000"">true</span> iex(<span style=""color: #666666"">4</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>insert(<span style=""color: #19177C"">:todo_list</span>, {<span style=""color: #008000"">~D[2018-05-30]</span>, <span style=""color: #BA2121"">""Haircut""</span>})  <span style=""color: #880000"">true</span> iex(<span style=""color: #666666"">7</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>insert(<span style=""color: #19177C"">:todo_list</span>, {<span style=""color: #008000"">~D[2018-05-24]</span>, <span style=""color: #BA2121"">""Haircut""</span>}) <span style=""color: #880000"">true</span> </pre></div> </td></tr></tbody></table></center>List all the dates with the same appointments in this case ""Haircut"""	"<center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">iex(<span style=""color: #666666"">8</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #19177C"">:ets</span><span style=""color: #666666"">.</span>match_object(<span style=""color: #19177C"">:todo_list</span>, {<span style=""color: #19177C"">:_</span>, <span style=""color: #BA2121"">""Haircut""</span>}) [{<span style=""color: #008000"">~D[2018-05-30]</span>, <span style=""color: #BA2121"">""Haircut""</span>}, {<span style=""color: #008000"">~D[2018-05-24]</span>, <span style=""color: #BA2121"">""Haircut""</span>}] </pre></div> </td></tr></tbody></table><div> <div> <div> <div>The function :ets.match_object/2 accepts a match pattern — a tuple that describes the shape of the row. The atom :_ indicates that you accept any value, so the pattern {:_, ""Dentist""} essentially matches all rows where the second element is ""Dentist"".&nbsp;</div> </div> </div></div></center><br>"	
How do you list all behavior callbacks from a Module?	"<center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">iex<span style=""color: #666666"">&gt;</span>b <span style=""color: #0000FF; font-weight: bold"">GenServer</span> </pre></div> </td></tr></tbody></table></center><br>"	
What are the 3 functions defined in the Mix.exs file?	<ul><br><li><code>project/0</code> - Defines the project including name, version, Elixir version, etc.</li><br><li><code>application/0</code> - Here you specify some options that will eventually make it to the application resource file. In this case, the description includes the list of other Erlang and Elixir applications you depend on, together with the module that will be used to start the application. By default, Elixir’s <code>:logger</code> application is listed. </li><br><li><code>deps/0</code><br>Defines the list of third-party dependencies — other libraries you want to use in your project.</li><br></ul>	
What is an application resource file?	" <div> <div> <div>It's a plain-text file written in Erlang terms that describes the application. Applications are specified in their <em>resource file</em>, which is a file called APP.app, where APP is the application name. For example, the application resource file of the OTP application ex_unit is called ex_unit.app.</div> <div>You'll find the resource file of an application in its <b>ebin</b> directory, it is generated automatically by Mix. Some of its keys are taken from the keyword lists returned by the project/0 and application/0 functions defined in mix.exs, and others are generated by Mix itself.<br></div><div><br></div><div>In summary, mix.exs is <b>compile time description of a project and a resource file a run time description of an OTP application</b></div> </div> </div>"	
What is the difference between OTP app and Mix project?	<div> <div> <div> <div> <div>An OTP application is a <b>runtime</b> <b>construct</b>: a resource file that’s dynamically interpreted by the corresponding OTP-specific code. When using mix, you describe some aspects of this file, and other aspects are derived from your code. But the application itself has meaning only at runtime. </div> <div>In contrast, a mix project is a <b>compile-time construct</b>. In the mix.exs file, you describe your application and implement modules. The compilation process then produces an application resource file.&nbsp;</div> </div> </div> </div></div>	
One way to start an OTP application is to <i>cd </i>into mix project and run <i>iex -S mix. </i>What is an another way to start the application?	"<center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">iex<span style=""color: #666666"">&gt;</span> cd <span style=""color: #BA2121"">""/hello_world/_build/dev/lib/hello_world/ebin""</span> <span style=""color: #666666"">/</span>hello_world<span style=""color: #666666"">/</span>_build<span style=""color: #666666"">/</span>dev<span style=""color: #666666"">/</span>lib<span style=""color: #666666"">/</span>hello_world<span style=""color: #666666"">/</span>ebin iex<span style=""color: #666666"">&gt;</span> <span style=""color: #0000FF; font-weight: bold"">Application</span><span style=""color: #666666"">.</span>start(<span style=""color: #19177C"">:hello_world</span>) <span style=""color: #19177C"">:ok</span> </pre></div> </td></tr></tbody></table>Running '<i>iex -S mix</i>' automatically puts the ebin directory in BEAM's classpath</center>"	
Why is System.stop/0 is better than Application.stop/1?	<code>Application.stop/1</code> stops only the specified application, leaving dependencies (other applications) running. To stop the entire system in a controlled way, you can invoke <code>System.stop/0</code>. This function will take down all the OTP applications, and then the BEAM instance itself. Both <code>Application.stop/1</code> and <code>System.stop/0</code> work in a polite way - every process in the supervision tree can perform some final cleanup in its <code>terminate/1</code> callback.	
How do you compile code for production and start the app using mix?	"<div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span style=""color: #000080; font-weight: bold"">$</span>&gt; <span style=""color: #19177C"">MIX_ENV</span><span style=""color: #666666"">=</span>Prod iex -S mix </pre></div> </td></tr></tbody></table></center><br></div>"	
How do you compile code for prod environment?	"<center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span style=""color: #000080; font-weight: bold"">$</span>&gt;MIX_ENV<span style=""color: #666666"">=</span>prod mix compile </pre></div> </td></tr></tbody></table></center><br>"	
What is the difference between a Behavior and a Protocol?	Protocol is a type/data based polymorphism.When I call Enum.each(foo, ...), the concrete enumeration is determined from the type of foo. For example, you can define Inspect(term, opts) for your custom datastructure using defprotocol.<div><br></div><div>A behaviour is a way to say: give me a module as argument and I will invoke the following callbacks on it, which these argument and so on. A more complex example for behaviours besides a GenServer are the Ecto adapters.&nbsp;When I call GenServer.start(MyModule), I explicitly pass MyModule as a plug-in, and the generic code from GenServer will call into this module when needed.<br></div>	
What is pattern matching and assignment operation (=) mean?	"<center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""></pre></div></td></tr></tbody></table><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%""><span style=""color: #0000FF; font-weight: bold"">Pattern</span> <span style=""color: #666666"">=</span> <span style=""color: #0000FF; font-weight: bold"">Expression</span> </pre></div> </td></tr></tbody></table></center><br></center>In a pattern matching operation, the expression on RHS is matched against the pattern on LHS and the value form the expression is <b>bound/assigned</b> the pattern.<div><br></div><div>For the pattern matching to work, all fields from the expression should be matching the pattern otherwise an error will be thrown. For example,</div><div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">iex<span style=""color: #666666"">&gt;</span> %<span style=""color: #0000FF; font-weight: bold"">Fraction</span>{} <span style=""color: #666666"">=</span> %{<span style=""color: #19177C"">a</span>: <span style=""color: #666666"">1</span>, <span style=""color: #19177C"">b</span>: <span style=""color: #666666"">2</span>}  <span style=""color: #666666"">**</span> (<span style=""color: #0000FF; font-weight: bold"">MatchError</span>) no match of right hand side <span style=""color: #19177C"">value</span>: %{<span style=""color: #19177C"">a</span>: <span style=""color: #666666"">1</span>, <span style=""color: #19177C"">b</span>: <span style=""color: #666666"">2</span>} </pre></div> </td></tr></tbody></table></center><br></div><div><div><div>When matching a map to a struct pattern, this isn’t the case, because %Fraction{} contains the field struct, which isn’t present in the map being matched.<br></div></div><div><div><br></div><div>This is equivalent to below:</div><div><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">iex&gt; %{<span style=""color: #19177C"">__struct__</span>: <span style=""color: #0000FF; font-weight: bold"">Fraction</span>, <span style=""color: #19177C"">a</span>: a, <span style=""color: #19177C"">b</span>: b} <span style=""color: #666666"">=</span> %{ <span style=""color: #19177C"">a</span>: <span style=""color: #666666"">1</span>, <span style=""color: #19177C"">b</span>: <span style=""color: #666666"">2</span>} </pre><pre style=""line-height: 125%""><div class=""highlight"" style=""white-space: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><pre style=""line-height: 25px;""><span style=""color: rgb(102, 102, 102);"">**</span> (<span style=""color: rgb(0, 0, 255); font-weight: bold;"">MatchError</span>) no match of right hand side <span style=""color: rgb(25, 23, 124);"">value</span>: %{<span style=""color: rgb(25, 23, 124);"">a</span>: <span style=""color: rgb(102, 102, 102);"">1</span>, <span style=""color: rgb(25, 23, 124);"">b</span>: <span style=""color: rgb(102, 102, 102);"">2</span>} </pre><div><br></div></div></pre></div> </td></tr></tbody></table></center><br></div></div></div>"	
How do you get the application configuration? For example, assume you have a <i>:todo</i> app that has a <i>:http_port</i> configured in config file. How do you access this variable in your code?	"<center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">iex(<span style=""color: #666666"">1</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #0000FF; font-weight: bold"">Application</span><span style=""color: #666666"">.fetch</span>_env!(<span style=""color: #19177C"">:todo</span>, <span style=""color: #19177C"">:http_port</span>) <span style=""color: #666666"">5454</span> </pre></div> </td></tr></tbody></table></center><div> <div> <div> <div>The most typical way of setting an application environment is to use the <i>config/config.exs</i> file. You can specify various environment settings in that file, and these settings will be loaded before the OTP application is started. The <i>config.exs</i> file is a script that’s evaluated by the mix tool when compiling the project and starting the application. As soon as you start the system, this setting is available in the application environment, and you can retrieve it&nbsp;</div> </div> </div></div>"	
What is the difference between Application environment variable and a Mix environment variable?	" <div> <div> <div>An application environment is a <b>key/value store</b> that holds various settings for your OTP application. A mix environment determines the <b>compilation target</b>, such as development, test, or production.&nbsp;</div><div><br></div><div> <div> <div> <div><center><center><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">$ <span style=""color: #19177C"">MIX_ENV</span><span style=""color: #666666"">=</span><span style=""color: #008000"">test</span> iex -S mix </pre></div> </td></tr></tbody></table></center><br><table><tbody><tr><td><div class=""highlight"" style=""background: #f8f8f8""><pre style=""line-height: 125%"">iex(<span style=""color: #666666"">1</span>)<span style=""color: #666666"">&gt;</span> <span style=""color: #0000FF; font-weight: bold"">Application</span><span style=""color: #666666"">.</span>get_env(<span style=""color: #19177C"">:todo</span>, <span style=""color: #19177C"">:http_port</span>)  <span style=""color: #666666"">5455</span> </pre></div> </td></tr></tbody></table></center>First shell command, sets up the mix environment whereas the second function call gets the application environment variable</div> </div> </div></div> </div> </div>"	
